,eff_acceleration_variance,eff_com_stability_index,eff_lateral_movement_ratio,eff_movement_smoothness,eff_path_straightness,eff_vertical_progress_rate,freq_foot_frequency_hz,freq_foot_movement_amplitude,freq_hand_frequency_hz,freq_hand_movement_amplitude,freq_limb_sync_ratio,freq_movement_regularity,post_avg_body_lean,post_avg_elbow_angle,post_avg_knee_angle,post_avg_reach_ratio,post_body_lean_std,post_elbow_angle_std,post_hip_width_ratio,post_knee_angle_std,post_max_reach_ratio
eff_acceleration_variance,1.0,0.31539389814466867,0.05406427589167429,0.23946267807723165,0.0824845724489477,0.02961206618883565,0.020172283720540942,-0.12793023613873178,0.030475066592114512,-0.11509629333721158,0.05845280746929821,-0.0030682636472290836,-0.12439246927571278,-0.1357626882719066,-0.04158958896125892,-0.15041328609743468,-0.2509795387340104,0.15666481413883238,0.02960326128521789,0.04681764573544817,-0.09211320177451443
eff_com_stability_index,0.31539389814466867,1.0,0.07043214951772704,0.15418968194664412,0.16599082173074914,0.1342365659161197,0.056430730360290934,-0.3997464464638049,0.03531949278877297,-0.45304393118245634,0.1629113105622457,0.21022083645836823,-0.18316597173935587,0.02149329191951025,0.085104473069913,-0.19157597691875644,-0.4932080071165576,0.09475182400178427,0.14130281241613038,0.3002521266910873,-0.08880383011623771
eff_lateral_movement_ratio,0.05406427589167429,0.07043214951772704,1.0,-0.01203522246315706,-0.14776175556516147,0.008714530877778685,-0.038517067181475295,-0.04898300930788289,0.042864230263235215,-0.045319534793731076,-0.05643897989649846,0.02428357519013065,-0.00860306962793897,0.008771588871492462,-0.031812955753428476,-0.004743876982034675,-0.02472314445536864,0.05577645953224933,0.006936336105214879,0.006296667487212457,0.003149572260985912
eff_movement_smoothness,0.23946267807723165,0.15418968194664412,-0.01203522246315706,1.0,0.4055594716423747,-0.08145769171676087,0.1056127560996484,0.043675527254860416,0.08311363604951026,0.0776482253856767,0.24400413016036757,0.19602823596912766,-0.023180879145417044,0.2157668635700189,0.023192797121820565,-0.14206028194885767,-0.05672986063836911,-0.08687315332278464,-0.021439061029689996,0.20480259417940794,-0.05714494250541989
eff_path_straightness,0.0824845724489477,0.16599082173074914,-0.14776175556516147,0.4055594716423747,1.0,-0.08763004771794028,-0.0033542751927836123,-0.04470719177849626,0.03189290025271559,0.004485060625858069,0.1424960846482841,0.07698765006409668,0.012825486522495374,0.17691669044820713,-0.06868531891024905,-0.021414685014078283,-0.11077839195925106,-0.1902274715898571,-0.1631947948631736,0.030407861179292284,-0.07471069391165952
eff_vertical_progress_rate,0.02961206618883565,0.1342365659161197,0.008714530877778685,-0.08145769171676087,-0.08763004771794028,1.0,-0.004139846568575519,0.06018105343888632,-0.002551314918962269,-0.08998775367826371,0.052872124686590055,-0.01722985816363935,-0.03694268505211066,0.0051662479930580495,0.13125814582594006,-0.06396117433890937,-0.07711035047151535,0.11459133397468166,-0.09692709275124402,0.12427075142566218,-0.018239346558326677
freq_foot_frequency_hz,0.020172283720540942,0.056430730360290934,-0.038517067181475295,0.1056127560996484,-0.0033542751927836123,-0.004139846568575519,1.0,0.13889197645417828,0.07536654991223876,0.05057651213520628,0.10103048518152645,-0.009960469293418442,-0.011044231463857787,0.03985855403222923,0.22311501234857142,-0.07131021546769356,0.0029650655621308165,0.02711353966729161,0.05444757417611795,0.09544253489060098,-0.029145175240377533
freq_foot_movement_amplitude,-0.12793023613873178,-0.3997464464638049,-0.04898300930788289,0.043675527254860416,-0.04470719177849626,0.06018105343888632,0.13889197645417828,1.0,-0.03758838358959619,0.41253276534039857,0.16516968136266436,0.0014004079830119741,0.15221006251314598,0.14412295491948338,0.1286431874941311,0.0816155330985421,0.3843413773158599,-0.15423856433840405,-0.10608541362024698,-0.005377158117823823,0.030778927848698068
freq_hand_frequency_hz,0.030475066592114512,0.03531949278877297,0.042864230263235215,0.08311363604951026,0.03189290025271559,-0.002551314918962269,0.07536654991223876,-0.03758838358959619,1.0,-0.03817966189472769,0.017788753371755853,-0.18861229896869833,0.0486604310803013,-0.025123803712621236,0.08124124338720626,-0.08784002299380178,0.02026926098454994,0.08350250778882545,-0.02529426345812733,0.06905441997147566,-0.013114353187701584
freq_hand_movement_amplitude,-0.11509629333721158,-0.45304393118245634,-0.045319534793731076,0.0776482253856767,0.004485060625858069,-0.08998775367826371,0.05057651213520628,0.41253276534039857,-0.03817966189472769,1.0,0.15353668064156317,0.28488280762833734,0.17892716631504654,-0.04488671576339286,-0.011470879060827523,-0.02949002998895687,0.3022428013321662,0.05434780622644129,-0.2596420068755576,-0.19941350946981257,0.012841462120787791
freq_limb_sync_ratio,0.05845280746929821,0.1629113105622457,-0.05643897989649846,0.24400413016036757,0.1424960846482841,0.052872124686590055,0.10103048518152645,0.16516968136266436,0.017788753371755853,0.15353668064156317,1.0,0.40728882429144436,-0.13402151271489646,0.10752615412324563,0.18208035246074225,-0.1466701461821303,-0.12939826131201915,0.08296960453551144,0.11275142393006855,0.2727855549856442,-0.06962922593612345
