# Problematic Videos Report
# Generated: 20251129_011758
# Total: 34 videos need review

## WARNINGS (34):
  Speed_finals_Chamonix_2024_race020_poses (left): low_confidence(0.55), too_short(42 frames)
  Speed_finals_Chamonix_2024_race023_poses (left): low_extraction_quality(0.66)
  Speed_finals_Chamonix_2024_race032_poses (left): low_extraction_quality(0.65)
  Speed_finals_Innsbruck_2024_race004_poses (right): low_confidence(0.40), too_long(791 frames)
  Speed_finals_Villars_2024_race016_poses (left): low_extraction_quality(0.65)
  Speed_finals_Villars_2024_race022_poses (left): low_extraction_quality(0.70)
  Speed_finals_Zilina_2025_race001_poses (right): low_extraction_quality(0.70)
  Speed_finals_Zilina_2025_race007_poses (right): low_extraction_quality(0.65)
  Speed_finals_Zilina_2025_race010_poses (right): low_extraction_quality(0.70)
  Speed_finals_Zilina_2025_race015_poses (right): low_extraction_quality(0.63)
  Speed_finals_Zilina_2025_race021_poses (right): low_extraction_quality(0.62), low_confidence(0.40), too_long(810 frames)
  Speed_finals_Zilina_2025_race024_poses (left): low_extraction_quality(0.66)
  Speed_finals_Zilina_2025_race026_poses (left): low_extraction_quality(0.66)
  Speed_finals_Zilina_2025_race026_poses (right): low_extraction_quality(0.69)
  Speed_finals_Zilina_2025_race028_poses (right): low_extraction_quality(0.70)
  Speed_finals_Zilina_2025_race029_poses (right): low_extraction_quality(0.66)
  Speed_finals_Zilina_2025_race036_poses (right): low_extraction_quality(0.70)
  Speed_finals_Zilina_2025_race037_poses (right): low_extraction_quality(0.55)
  Speed_finals_Zilina_2025_race038_poses (right): low_extraction_quality(0.70)
  Speed_finals_Zilina_2025_race041_poses (right): low_extraction_quality(0.49)
  Speed_finals_Zilina_2025_race044_poses (right): low_extraction_quality(0.61)
  Speed_finals_Zilina_2025_race053_poses (left): low_extraction_quality(0.67)
  Speed_finals_Zilina_2025_race054_poses (right): low_extraction_quality(0.67)
  Speed_finals_Zilina_2025_race056_poses (right): low_extraction_quality(0.65)
  Speed_finals_Zilina_2025_race057_poses (left): low_extraction_quality(0.63)
  Speed_finals_Zilina_2025_race057_poses (right): low_extraction_quality(0.68)
  Speed_finals_Zilina_2025_race059_poses (right): low_extraction_quality(0.62)
  Speed_finals_Zilina_2025_race062_poses (left): low_extraction_quality(0.64)
  Speed_finals_Zilina_2025_race062_poses (right): low_extraction_quality(0.64)
  Speed_finals_Zilina_2025_race063_poses (left): too_short(37 frames)
  Speed_finals_Zilina_2025_race066_poses (left): low_extraction_quality(0.67)
  Speed_finals_Zilina_2025_race066_poses (right): low_extraction_quality(0.69)
  Speed_finals_Zilina_2025_race067_poses (left): low_extraction_quality(0.68)
  Speed_finals_Zilina_2025_race067_poses (right): low_extraction_quality(0.69)
