video_id,lane,competition,extraction_quality,race_segment_confidence,total_frames,valid_frames,racing_frames,fps,status,issues
Speed_finals_Chamonix_2024_race001_poses,left,chamonix_2024,0.9092118298368298,0.6508333333333334,143,142,143,30.0,OK,none
Speed_finals_Chamonix_2024_race001_poses,right,chamonix_2024,0.8955314685314686,0.708,143,134,141,30.0,OK,none
Speed_finals_Chamonix_2024_race002_poses,left,chamonix_2024,0.9449776644995701,0.7927311708187931,312,310,157,30.0,OK,none
Speed_finals_Chamonix_2024_race002_poses,right,chamonix_2024,0.9383412754008161,0.7533651016032646,312,312,155,30.0,OK,none
Speed_finals_Chamonix_2024_race003_poses,left,chamonix_2024,0.9385746084746962,0.754298433898785,288,288,148,30.0,OK,none
Speed_finals_Chamonix_2024_race003_poses,right,chamonix_2024,0.9524852695314382,0.8099410781257528,288,288,167,30.0,OK,none
Speed_finals_Chamonix_2024_race004_poses,left,chamonix_2024,0.8941139112574078,0.610702220372097,292,287,114,30.0,OK,none
Speed_finals_Chamonix_2024_race004_poses,right,chamonix_2024,0.9437173161383465,0.774869264553386,292,292,136,30.0,OK,none
Speed_finals_Chamonix_2024_race005_poses,left,chamonix_2024,0.9422095206121953,0.7901903956160407,281,278,151,30.0,OK,none
Speed_finals_Chamonix_2024_race005_poses,right,chamonix_2024,0.9384386718441,0.8035767514333397,281,274,171,30.0,OK,none
Speed_finals_Chamonix_2024_race006_poses,left,chamonix_2024,0.9323298995750849,0.79983241881316,312,301,150,30.0,OK,none
Speed_finals_Chamonix_2024_race006_poses,right,chamonix_2024,0.9479067701242055,0.7916270804968221,312,312,137,30.0,OK,none
Speed_finals_Chamonix_2024_race007_poses,left,chamonix_2024,0.9323575557998167,0.7294302231992668,274,274,216,30.0,OK,none
Speed_finals_Chamonix_2024_race007_poses,right,chamonix_2024,0.9359870030321994,0.7585465522747826,274,272,197,30.0,OK,none
Speed_finals_Chamonix_2024_race008_poses,left,chamonix_2024,0.9453230889260572,0.8259020211317377,269,263,166,30.0,OK,none
Speed_finals_Chamonix_2024_race008_poses,right,chamonix_2024,0.9508383761429177,0.8033535045716707,269,269,161,30.0,OK,none
Speed_finals_Chamonix_2024_race009_poses,left,chamonix_2024,0.9078683069978939,0.8285535199623784,274,247,166,30.0,OK,none
Speed_finals_Chamonix_2024_race009_poses,right,chamonix_2024,0.9427283080109536,0.7855117721897998,274,272,166,30.0,OK,none
Speed_finals_Chamonix_2024_race010_poses,left,chamonix_2024,0.9513471882441479,0.8158599571650732,191,190,155,30.0,OK,none
Speed_finals_Chamonix_2024_race010_poses,right,chamonix_2024,0.967052356092343,0.8682094243693719,191,191,166,30.0,OK,none
Speed_finals_Chamonix_2024_race011_poses,left,chamonix_2024,0.9583061078023404,0.8415926320461814,239,238,166,30.0,OK,none
Speed_finals_Chamonix_2024_race011_poses,right,chamonix_2024,0.8934013249651325,0.9083333333333332,239,199,166,30.0,OK,none
Speed_finals_Chamonix_2024_race012_poses,left,chamonix_2024,0.9091221574299424,0.7990902557360297,246,226,136,30.0,OK,none
Speed_finals_Chamonix_2024_race012_poses,right,chamonix_2024,0.9006861235571939,0.7003054698385316,246,234,213,30.0,OK,none
Speed_finals_Chamonix_2024_race013_poses,left,chamonix_2024,0.9278787101620702,0.7880698645717257,209,201,166,30.0,OK,none
Speed_finals_Chamonix_2024_race013_poses,right,chamonix_2024,0.8618836056550594,0.744185140323587,209,178,166,30.0,OK,none
Speed_finals_Chamonix_2024_race014_poses,left,chamonix_2024,0.9500235646712862,0.8000942586851449,259,259,161,30.0,OK,none
Speed_finals_Chamonix_2024_race014_poses,right,chamonix_2024,0.9375266311110285,0.7887165630541526,259,254,178,30.0,OK,none
Speed_finals_Chamonix_2024_race015_poses,left,chamonix_2024,0.9655306200635283,0.8621224802541132,268,268,166,30.0,OK,none
Speed_finals_Chamonix_2024_race015_poses,right,chamonix_2024,0.9405055830855777,0.7769477054766396,268,266,180,30.0,OK,none
Speed_finals_Chamonix_2024_race016_poses,left,chamonix_2024,0.9452530422509875,0.7810121690039499,266,266,215,30.0,OK,none
Speed_finals_Chamonix_2024_race016_poses,right,chamonix_2024,0.9406289434402789,0.7700345707535966,266,265,136,30.0,OK,none
Speed_finals_Chamonix_2024_race017_poses,left,chamonix_2024,0.9528176205425081,0.8112704821700322,240,240,159,30.0,OK,none
Speed_finals_Chamonix_2024_race017_poses,right,chamonix_2024,0.9503752155666128,0.8015008622664511,240,240,157,30.0,OK,none
Speed_finals_Chamonix_2024_race018_poses,left,chamonix_2024,0.9452591147276135,0.7944592777024004,298,296,144,30.0,OK,none
Speed_finals_Chamonix_2024_race018_poses,right,chamonix_2024,0.9362886371352075,0.7451545485408297,298,298,166,30.0,OK,none
Speed_finals_Chamonix_2024_race019_poses,left,chamonix_2024,0.8977683020578882,0.6106171821729205,307,304,97,30.0,OK,none
Speed_finals_Chamonix_2024_race019_poses,right,chamonix_2024,0.9274959856044734,0.78164518020291,307,296,166,30.0,OK,none
Speed_finals_Chamonix_2024_race020_poses,left,chamonix_2024,0.877391753954087,0.5509463261611758,290,284,42,30.0,WARNING,"low_confidence(0.55), too_short(42 frames)"
Speed_finals_Chamonix_2024_race020_poses,right,chamonix_2024,0.9304124333649088,0.7561324920803246,290,285,166,30.0,OK,none
Speed_finals_Chamonix_2024_race021_poses,left,chamonix_2024,0.8666722806468283,0.7436121995103901,260,224,166,30.0,OK,none
Speed_finals_Chamonix_2024_race021_poses,right,chamonix_2024,0.9499808840895414,0.8076158440504734,260,259,192,30.0,OK,none
Speed_finals_Chamonix_2024_race022_poses,left,chamonix_2024,0.9268824212338361,0.7937365814870687,232,222,166,30.0,OK,none
Speed_finals_Chamonix_2024_race022_poses,right,chamonix_2024,0.948260882557954,0.7930435302318162,232,232,180,30.0,OK,none
Speed_finals_Chamonix_2024_race023_poses,left,chamonix_2024,0.6594749889051238,0.7555470144440246,272,120,181,30.0,WARNING,low_extraction_quality(0.66)
